id,accelerometer x ,accelerometer y ,accelerometer z ,activity
5fbaa252ab33096d8049d846,0.2566365755977388,7.593804169211328,1.735515498944688,walking
5fbaa252ab33096d8049d846,-1.9985745182257564,9.07395065355757,1.514465920740538,walking
5fbaa252ab33096d8049d846,-4.037894156250949,3.8229030831611013,-0.6644100529444751,walking
5fbaa252ab33096d8049d846,-2.63906409187544,4.393305781268914,-1.7194107784273998,walking
5fbaa252ab33096d8049d846,-1.4285674842736533,2.753027370705971,-1.9443283443662136,walking
5fbaa252ab33096d8049d846,-0.28465000920607797,3.340237867177442,1.9639132242265371,walking
5fbaa252ab33096d8049d846,-0.613901046174365,1.6382568691693713,2.6776877845690317,walking
5fbaa252ab33096d8049d846,-2.7885145227816297,0.46124500198287244,-1.3012679402095988,walking
5fbaa252ab33096d8049d846,-4.431945227657446,-0.3488099322563176,-2.911777006089186,walking
5fbaa252ab33096d8049d846,-5.492405667387583,-0.9478814422297024,-0.566669724267478,walking
5fbaa252ab33096d8049d846,-5.432604090724576,0.2711078579628552,0.1630895958925217,walking
5fbaa252ab33096d8049d846,-0.4852318056935738,-0.241848679791957,1.0608243089451417,walking
5fbaa252ab33096d8049d846,6.007090416676329,-2.8752878892822586,0.6617826969640388,walking
5fbaa252ab33096d8049d846,11.205789799268716,-0.06367664500278991,-2.8661435766599497,walking
5fbaa252ab33096d8049d846,14.422912882747287,4.777071204098153,-4.727079681380946,walking
5fbaa252ab33096d8049d846,11.657147620915499,-1.2904399620668485,-2.807952479758317,walking
5fbaa252ab33096d8049d846,1.011973731724452,-6.960394105513302,4.489115992007427,walking
5fbaa252ab33096d8049d846,-5.603989220035836,-6.791134690218811,2.021886269637788,walking
5fbaa252ab33096d8049d846,-1.9894209887635372,-6.174146100211344,-1.7484638823095902,walking
5fbaa252ab33096d8049d846,1.4133805734561198,-6.770520945764469,-0.8762294232256707,walking
5fbaa252ab33096d8049d846,3.9218638500848355,-7.852921265841728,0.475159146311666,walking
5fbaa252ab33096d8049d846,4.07407509590199,-9.776654757581476,0.7047264737429652,walking
5fbaa252ab33096d8049d846,3.213902297735083,-11.412080649383348,0.1382168641248429,walking
5fbaa252ab33096d8049d846,2.5344375018603844,-11.821873016918511,0.7324372935914978,walking
5fbaa252ab33096d8049d846,2.6717545752077716,-10.179920684036567,-0.3421934068620033,walking
5fbaa252ab33096d8049d846,2.3029734831677136,-9.272326459739155,0.08832097569622177,walking
5fbaa252ab33096d8049d846,2.1976775431949322,-7.81455853083563,-0.08378842275184617,walking
5fbaa252ab33096d8049d846,1.9968933922136651,-6.6049950686908945,0.7636941620375959,walking
5fbaa252ab33096d8049d846,2.175227533469562,-3.8572471972170783,1.5334484655431029,walking
5fbaa252ab33096d8049d846,1.6942894579904002,-1.7185413325230852,2.5904025567823856,walking
5fbaa252ab33096d8049d846,-2.1522419672722566,1.461350350924509,3.438404192578816,walking
5fbaa252ab33096d8049d846,-5.617409673919803,6.568553016375556,8.96470525664453,walking
